_id,car_name,car_price,year,style,madein,kilometer,province,district,gearbox,fuel,descri
670b8e71321cad3440000125,Hyundai Accent 1.4 AT 2011,270 triệu,2011,Sedan,Nhập khẩu,70 km,Thanh Hóa,Đông Sơn,Số tự động,Máy xăng,"Xe đẹp giá đẹp‍. Auto #hào_ô_tô_đông_sơn. Địa chỉ: Đối diện nhà thi đấu huyện Đông Sơn- Thanh Hóa. Tìm kiếm google: Hào ô tô Đông Sơn. Https://maps.app.goo.gl/SpV2ByHG1KZRrTBa6. Với kinh nghiệm 15 năm kinh doanh xe, từng chiếc xe bán ra chúng tôi được cam kết bằng hợp đồng để đảm bảo về chất lượng xe khi đến tay."
670b8e72321cad3440000126,Porsche Macan 2017,1 tỉ 690 triệu,2017,Sedan,Nhập khẩu,38.000 km,Tp.HCM,Quận 10,Số tự động,Máy xăng,"Macan t4 2017. 1 đời chủ. Fulloption gồm: Mâm 21, ghế 14 hướng, loa Bose, đèn LED matrix, ốp gỗ, paga mui, pô 4 ống xã, viền cửa sổ xi, màu sơn, nẹp cửa macan, tay lái gật gù điện, dàn lạnh sau, cốp điện. Xe nhà trùm mền không chạy. Sử dụng 38 ngàn. Mới 95%. Toàn bộ còn zin theo xe. Xem thích ngay."
670b8e72321cad3440000127,Ford EcoSport 2020,498 triệu,2020,SUV,Trong nước,46.000 km,Tp.HCM,Tân Phú,Số tự động,Máy xăng,"ECOSPORT 1.0L ECOSBOOST_2020. 51H-. Xe cá nhân - Một đời chủ sử dụng. Đký lần đầu: 10/2020. Màu: Đỏ. Số km: 46.000km. Phụ kiện đi kèm: Phim cách nhiệt, lót sàn. Giá: 498 triệu. Xe qua sử dụng bảo hành chính hãng Mitsubishi. Cam kết 3 không: - Không đâm đụng. - Không ngập nước. - Không tua đồng hồ. Hỗ trợ trả góp qua ngân hàng 75%."
670b8e72321cad3440000128,Land Rover Range Rover 2015,3 tỉ 450 triệu,2015,SUV,Nhập khẩu,81.234 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,HÀNG MỚI VỀ!!! Land Rover Range Rover Autobiography LWB 5.0 Supercharged. Model 2016. Full options. Xe đẹp không tì vết. Đã nâng cấp dàn chân 22inch. Dàn lốp Pirelli Scorpion P zero run flat xịn đét luôn ACE. Bao test check thoải mái. Hỗ trợ bank. LH: Mr. Dũng.
670b8e72321cad3440000129,Lexus RX 450H 2010,950 triệu,2010,SUV,Nhập khẩu,123.456 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Lexus RX450H AWD 2010. Xe đẹp chất. Cam sườn, loa mark, dàn lốp mới. Động cơ lai điện Hybrid siêu tiết kiệm. Giá siêu êm. ACE quan tâm alo là mua được. LH: 0983.555.688 - 09660.88888 Mr. Dũng."
670b8e73321cad344000012a,Lexus LM 300 H 2020,5 tỉ 599 triệu,2020,MPV,Nhập khẩu,59.999 km,Hà Nội,Thanh Xuân,Số tự động,Hybrid,Lexus LM300h model 2021. Fulloption 1 chủ từ đầu. Xe đẹp chất đã qua kiểm tra chất lượng. Bao test check thoải mái. Hỗ trợ bank 5-6 năm.
670b8e73321cad344000012b,Hyundai Sonata Y20 2011,330 triệu,2011,Sedan,Trong nước,112.345 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Hyundai Sonata Y20 sản xuất 2011. Xe đẹp bảo dưỡng đầy đủ, đăng kiểm 7/2025. Chỉ việc đổ xăng là chạy. Chỉ có hơn 300tr là xong thôi ACE nhé..."
670b8e73321cad344000012c,Mercedes-Benz V250 Avantgarde 2016,1 tỉ 550 triệu,2016,MPV,Nhập khẩu,67.899 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,Về thêm MPV full size phục vụ ACE. Mercedes Benz V250 up MAYBACH. Xe đẹp chất chỉ bàn về giá. Bao test check thoải mái... LH: 0983.555.688 - 09660.88888 Mr. Dũng.
670b8e73321cad344000012d,Lexus RX 300 T 2021,2 tỉ 929 triệu,2021,SUV,Nhập khẩu,51.234 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Lexus RX300 2021. 1 chủ từ đầu. Full lịch sử hãng. Nâng cấp camera 360, cửa hít.... Giá siêu êm ACE alo là mua được nhé... LH: 0983.555.688 - 0966088888 Mr. Dũng."
670b8e74321cad344000012e,Toyota Fortuner 2022,965 triệu,2022,SUV,Nhập khẩu,38.000 km,Tp.HCM,Quận 10,Số tự động,Máy dầu,Toyota Fortuner 2022. Máy dầu. Số tự động. Xe nhà trùm mền không chạy còn mới tinh. Toàn bộ còn zin theo xe. Xem thích ngay.
